Target,Type,Accuracy,F1,Precision,Recall,MCC,AUC-ROC,N_test,Features_matched,Reference
CIC17,Within,0.9963,0.9963,0.9963,0.9963,98.54,0.9997,44679,20,CIC17
CIC18_FRIDAY-1,Cross,0.7546,0.6491,0.5694,0.7546,0.0,0.0169,11838,20,CIC17
CIC18_FRIDAY-2,Cross,0.9976,0.9964,0.9952,0.9976,0.0,0.4121,16632,20,CIC17
CIC18_FRIDAY-3,Cross,0.8128,0.7289,0.6607,0.8128,0.0,0.3334,15444,20,CIC17
CIC18_THURSDAY-1,Cross,0.9355,0.9044,0.8752,0.9355,0.0,0.7308,15912,20,CIC17
CIC18_THURSDAY-2,Cross,0.9976,0.9964,0.9952,0.9976,0.0,0.4489,16651,20,CIC17
CIC18_THURSDAY-3,Cross,0.7509,0.6441,0.5639,0.7509,0.0,0.4796,4990,20,CIC17
CIC18_TUESDAY,Cross,0.8942,0.8442,0.7996,0.8942,0.0,0.4476,60000,20,CIC17
CIC18_WEDNESDAY-1,Cross,0.8482,0.7785,0.7194,0.8482,0.0,0.508,12396,20,CIC17
CIC18_WEDNESDAY-2,Cross,0.6427,0.5029,0.413,0.6427,0.0,0.7632,11228,20,CIC17
CIC18_WEDNESDAY-3,Cross,0.8767,0.8191,0.7686,0.8767,0.0,0.4942,9173,20,CIC17
